TE-I-87299375,TE-T-64215521
TE-V-56495117,TE-S-64774945
TE-B-31994975,TE-O-93185190
TE-D-67959511,TE-D-20978938
TE-N-65337408,TE-X-84444369
TE-S-98330448,TE-E-26320369
TE-F-30715809,TE-G-87879853
TE-P-03366345,TE-N-95211854
TE-X-56395735,TE-P-64901324
TE-P-20230590,TE-J-95396491
TE-V-19469891,TE-Y-43688261
TE-I-95759979,TE-W-22065909
TE-E-07368346,TE-L-64721254
TE-M-83616529,TE-L-82662363
TE-W-45604260,TE-V-58090608
TE-B-76545315,TE-E-79442549
TE-I-09287183,TE-Z-80090450
TE-V-47280306,TE-N-29033381
TE-E-09326636,TE-H-10274989
TE-K-33038123,TE-M-11079997
TE-R-05737468,TE-N-62596274
TE-Y-56889758,TE-E-29979136
TE-M-25164952,TE-W-83583830
TE-W-36218262,TE-G-50730522
TE-J-00088594,TE-S-19706231
TE-D-98620050,TE-S-73307967
TE-H-86180997,TE-S-19706231
TE-S-32828165,TE-W-18635305
TE-U-11374355,TE-T-64183766
TE-Y-61457152,TE-Q-64836767
TE-R-57344786,TE-E-66340690
TE-Q-76967313,TE-M-36298052
TE-M-40110870,TE-B-38138832
TE-G-13941474,TE-O-89849140
TE-M-13575225,TE-Q-09485746
TE-L-22447402,TE-P-67839894
TE-O-93185190,TE-E-28226532
TE-U-33278221,TE-K-91564645
TE-U-04383966,TE-I-62496938
TE-M-48280904,TE-A-18302524
TE-A-71824991,TE-V-22186295
TE-I-05341123,TE-I-00159334
TE-G-47749061,TE-K-49474098
TE-W-71015326,TE-R-27617735
TE-D-26167484,TE-A-53088438
TE-M-51682546,TE-S-38037584
TE-I-92941813,TE-V-23934722
TE-V-51264890,TE-D-10137492
TE-O-62812813,TE-I-05341123
TE-V-30781827,TE-E-52220366
TE-W-85255678,TE-K-91564645
TE-C-47713186,TE-R-38610761
TE-Q-58522409,TE-T-64518163
TE-U-70116838,TE-F-51382584
TE-U-78543534,TE-Z-79129610
TE-I-03201964,TE-K-29791838
TE-T-89337187,TE-W-20765983
TE-N-50689718,TE-Q-85701697
TE-V-54937653,TE-G-94664757
TE-U-85728617,TE-J-15501199
TE-Q-89183276,TE-R-52302787
TE-I-80314491,TE-H-36263868
TE-N-32354132,TE-D-67268242
TE-Q-71557196,TE-R-34755324
TE-O-25552796,TE-P-65792592
TE-C-91221426,TE-A-44697240
TE-P-98703852,TE-Q-54490003
TE-A-31476255,TE-W-19960929
TE-L-77933626,TE-F-30715809
TE-V-71910852,TE-A-02591537
TE-S-69643595,TE-X-58417696
TE-P-00730977,TE-D-68420279
TE-Y-03465914,TE-P-38475092
TE-V-81832890,TE-A-78615402
TE-P-81227657,TE-L-42732218
TE-N-26292306,TE-T-59685062
TE-S-01726479,TE-S-38996773
TE-W-62450357,TE-H-94632234
TE-F-74727271,TE-G-83724629
TE-H-72919148,TE-M-47455815
TE-C-74717825,TE-M-63402770
